Plate,Well ID,Well,Sample,Detector,Task,Ct,Ct std err,Avg Ct,Avg dCt,dCt std err,ddCt,RQ,RQ min,RQ max,Omit,Filtered,Threshold,Auto Ct,Baseline,Start,End
p150KO_p150_dcat,45,D9,MxA_2,SyB G,KO_1,15.985,0.461,18.143,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,46,D10,MxA_2,SyB G,KO_2,15.99,0.461,18.143,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,47,D11,MxA_2,SyB G,Lenti_1,21.233,0.461,18.143,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,48,D12,MxA_2,SyB G,Lenti_2,22.368,0.461,18.143,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,49,E1,IFIT1_1,SyB G,p150_8.1,18.21,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,50,E2,IFIT1_1,SyB G,p150_8.2,17.676,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,51,E3,IFIT1_1,SyB G,p150_11.1,16.757,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,52,E4,IFIT1_1,SyB G,p150_11.2,16.789,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,53,E5,IFIT1_1,SyB G,cat_9.1,20.474,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,54,E6,IFIT1_1,SyB G,cat_9.2,20.077,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,55,E7,IFIT1_1,SyB G,cat_11.1,17.307,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,56,E8,IFIT1_1,SyB G,cat_11.2,17.353,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,57,E9,IFIT1_1,SyB G,KO_1,17.46,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,58,E10,IFIT1_1,SyB G,KO_2,17.34,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,59,E11,IFIT1_1,SyB G,Lenti_1,20.806,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,60,E12,IFIT1_1,SyB G,Lenti_2,20.814,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,61,F1,IFIT1_2,SyB G,p150_8.1,18.393,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,62,F2,IFIT1_2,SyB G,p150_8.2,17.922,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,63,F3,IFIT1_2,SyB G,p150_11.1,16.863,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,64,F4,IFIT1_2,SyB G,p150_11.2,16.915,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,65,F5,IFIT1_2,SyB G,cat_9.1,20.391,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,66,F6,IFIT1_2,SyB G,cat_9.2,20.454,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,67,F7,IFIT1_2,SyB G,cat_11.1,17.298,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,68,F8,IFIT1_2,SyB G,cat_11.2,17.646,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,69,F9,IFIT1_2,SyB G,KO_1,17.156,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,70,F10,IFIT1_2,SyB G,KO_2,17.572,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,71,F11,IFIT1_2,SyB G,Lenti_1,21.193,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,72,F12,IFIT1_2,SyB G,Lenti_2,21.37,0.336,18.51,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,73,G1,Tub_1,SyB G,p150_8.1,14.027,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,74,G2,Tub_1,SyB G,p150_8.2,13.944,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,75,G3,Tub_1,SyB G,p150_11.1,14.243,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,76,G4,Tub_1,SyB G,p150_11.2,14.024,0.027,14.005,,,,,,,,,0.2,Manual,Manual,3,15
